Date,CITI Close,TD Close,BOA Close
5/9/2016,43.889999,28.48,13.99
5/6/2016,44.41,28.4,14.11
5/5/2016,44.23,28.799999,14.05
5/4/2016,44.66,28.809999,14.13
5/3/2016,45.57,29.290001,14.36
5/2/2016,46.68,30,14.77
4/29/2016,46.279999,29.83,14.56
4/28/2016,46.73,30.52,14.79
4/27/2016,47.330002,31.639999,15.02
4/26/2016,47.099998,31.98,15.09
4/25/2016,46.689999,31.76,14.96
4/22/2016,46.970001,31.76,15.11
4/21/2016,46.599998,31.299999,14.9
4/20/2016,46.740002,31.049999,14.93
4/19/2016,45.630001,30.98,14.45
4/18/2016,45.110001,31.65,14.17
4/15/2016,44.919998,31.700001,14
4/14/2016,44.98,32.32,14.14
4/13/2016,44.25,32.400002,13.79
4/12/2016,41.900002,31,13.27
4/11/2016,41.119999,30.530001,12.97
4/8/2016,40.470001,29.879999,12.88
4/7/2016,40.27,29.879999,12.85
4/6/2016,41.860001,31.549999,13.27
4/5/2016,41.509998,31.200001,13.19
4/4/2016,42.060001,31.639999,13.51
4/1/2016,42.470001,32.25,13.56
3/31/2016,41.75,31.530001,13.52
3/30/2016,41.880001,31.620001,13.48
3/29/2016,41.720001,31.139999,13.42
3/28/2016,41.919998,31.08,13.62
3/24/2016,41.939999,31.18,13.68
3/23/2016,42.369999,31.27,13.62
3/22/2016,43.380001,31.59,13.76
3/21/2016,43.599998,31.52,13.84
3/18/2016,43.540001,31.690001,13.79
3/17/2016,42.849998,31.049999,13.4
3/16/2016,42.23,30.42,13.31
3/15/2016,42.59,31.16,13.57
3/14/2016,42.669998,31.52,13.64
3/11/2016,42.990002,31.93,13.79
3/10/2016,41.369999,30.65,13.27
3/9/2016,41.150002,30.280001,13.14
3/8/2016,41.049999,30.35,13.06
3/7/2016,42.610001,31.51,13.53
3/4/2016,42.830002,31.049999,13.54
3/3/2016,42.830002,31.040001,13.5
3/2/2016,42.220001,30.549999,13.41
3/1/2016,41.27,30.040001,13.19
2/29/2016,38.849998,28.58,12.52
2/26/2016,39.5,29.17,12.7
2/25/2016,38.619999,28.299999,12.32
2/24/2016,38.09,27.799999,12.13
2/23/2016,38.220001,27.790001,12.16
2/22/2016,39.52,28.049999,12.54
2/19/2016,38.990002,27.889999,12.13
2/18/2016,38.919998,27.67,12.24
2/17/2016,39.779999,27.860001,12.56
2/16/2016,38.889999,27.07,12.25
2/12/2016,37.540001,26.280001,11.95
2/11/2016,34.98,25.68,11.16
2/10/2016,37.41,26.33,11.98
2/9/2016,37.509998,26.360001,12.2
2/8/2016,37.810001,26.389999,12.27
2/5/2016,39.860001,27.16,12.95
2/4/2016,40.790001,27.08,13.25
2/3/2016,40.360001,26.17,13.03
2/2/2016,40.419998,26.049999,13.23
2/1/2016,42.48,27.530001,13.96
1/29/2016,42.580002,27.58,14.14
1/28/2016,40.389999,27.35,13.53
1/27/2016,40.560001,28.27,13.36
1/26/2016,40.5,28.809999,13.31
1/25/2016,39.549999,28.459999,12.96
1/22/2016,41.060001,29.040001,13.56
1/21/2016,40.150002,27.969999,13.36
1/20/2016,40.490002,28.309999,13.69
1/19/2016,41.939999,28.93,14.24
1/15/2016,42.470001,29.110001,14.46
1/14/2016,45.380001,30.290001,14.99
1/13/2016,45.189999,30.01,14.9
1/12/2016,46.880001,31.110001,15.31
